variant,algorithm,group_name,scenario_type,A_mean,A_std,A_median,AS_mean,AS_std,AS_median,C_mean,C_std,C_median,G_mean,G_std,G_median,HV_mean,HV_std,HV_median,IGD+_mean,IGD+_std,IGD+_median,feasible_rate_mean,feasible_rate_std,feasible_rate_median,ls_boundary_balance_moves_mean,ls_boundary_balance_moves_std,ls_boundary_balance_moves_median,ls_calls_mean,ls_calls_std,ls_calls_median,ls_structure_moves_mean,ls_structure_moves_std,ls_structure_moves_median,ls_time_moves_mean,ls_time_moves_std,ls_time_moves_median,max_AS_mean,max_AS_std,max_AS_median,min_A_mean,min_A_std,min_A_median,min_C_mean,min_C_std,min_C_median,min_G_mean,min_G_std,min_G_median,mutation_bbr_accepts_mean,mutation_bbr_accepts_std,mutation_bbr_accepts_median,mutation_bbr_attempts_mean,mutation_bbr_attempts_std,mutation_bbr_attempts_median,mutation_bbr_imbalance_triggers_mean,mutation_bbr_imbalance_triggers_std,mutation_bbr_imbalance_triggers_median,mutation_bbr_overload_triggers_mean,mutation_bbr_overload_triggers_std,mutation_bbr_overload_triggers_median,mutation_cfm_accepts_mean,mutation_cfm_accepts_std,mutation_cfm_accepts_median,mutation_cfm_attempts_mean,mutation_cfm_attempts_std,mutation_cfm_attempts_median,n_solutions_mean,n_solutions_std,n_solutions_median,runtime_mean_sec,runtime_std_sec,runtime_median_sec,total_sorties_mean,total_sorties_std,total_sorties_median,uav_load_range_mean,uav_load_range_std,uav_load_range_median,uav_load_std_mean,uav_load_std_std,uav_load_std_median,used_uavs_mean,used_uavs_std,used_uavs_median,count
full_model,msd_ag_nsga2,main_30_3,multi_hotspot_boundary,543413.0214930547,63590.06739529414,533862.6712398333,0.4566736486418795,0.1114468041048504,0.4797834894062986,611.4757193329262,36.70247017850674,615.023242052608,29.06890613430347,5.061896609424677,28.162194986747465,0.5812813552477207,0.0569794259646236,0.5778183876489504,0.0371347054926652,0.0162121978235344,0.0332990706905746,1.0,0.0,1.0,0.3375,1.083325320483187,0.0,600.0,0.0,600.0,4727.7125,97.85936257584147,4762.5,2213.4875,138.93442641674525,2221.0,0.5479460951770726,0.0938963746803074,0.5744607298005449,248120.61307550495,16637.790311926114,248617.96492612633,527.0510411659232,38.835180459949235,530.2088906834194,20.833566876590872,5.604004184275906,18.323306144016964,821.7125,348.08404853389936,771.0,5350.1,69.66681419442115,5347.0,854.4875,371.4899054399056,782.0,62.875,57.87451403683663,40.0,3120.525,131.62940163580475,3148.0,3568.2,53.80297389550135,3572.0,118.925,1.0096410253154335,119.0,20.158088552072876,1.276393088509068,20.11494508292526,2.9625,0.1899835519196333,3.0,5.88741713225,15.265395957799289,0.0,2.7753550519252217,7.196176666171726,0.0,2.9625,0.1899835519196333,3.0,80
full_model,msd_ag_nsga2,main_30_3,remote_hotspot,760357.2007020231,189069.59389522055,690481.141728987,0.1754360684557779,0.0447174655198172,0.1708151223847333,693.2703653115674,65.71731243050266,698.0312081677669,41.43115703719057,1.81403857265591,41.1414889044372,0.6472712825348909,0.0442516527962044,0.6370720129066321,0.0286047605913774,0.0128731687017835,0.0257910757767745,1.0,0.0,1.0,2.2375,4.010123907063222,0.0,600.0,0.0,600.0,4639.4125,134.37556453369788,4685.5,1524.4375,319.15982844610943,1607.5,0.3071139659964255,0.0505622625451975,0.3002085092405632,264370.28527407517,19717.429643218795,260814.7715792503,573.8985007855812,71.27059779175775,598.274267719403,32.75339463802894,2.9008957137724813,33.19951107543348,2145.975,441.2442627105762,2215.0,5343.875,56.02887090598917,5345.0,2464.1625,443.1079564775947,2514.0,674.6,320.82980690702664,645.5,3401.3875,77.41987692931319,3397.5,3577.4,55.36054551754345,3586.0,118.675,1.3112494041943357,119.0,28.869425938514176,2.83646896133765,28.767410999862477,3.2125,0.4090767042988393,3.0,28.294869694874997,41.25663082555695,0.0,13.569218712396736,19.761518791821334,0.0,2.9,0.3,3.0,80
full_model,msd_ag_nsga2,main_50_5,multi_hotspot_boundary,832468.5326240051,83479.13504514402,822706.5606754305,0.4629739736324049,0.0781986911971455,0.4451780355850092,989.000432233772,47.53023129547974,994.4554199185465,50.73716282380866,6.140300151780299,49.913618413062416,0.5901332694773768,0.0435201692142409,0.586597443134252,0.0522517406937445,0.019722593706523,0.0498887636272153,1.0,0.0,1.0,1.5625,3.239767545673609,0.0,868.0,0.0,868.0,6780.025,197.79111298286384,6867.0,3428.175,82.56584872088459,3462.0,0.5459182314147721,0.0613137103940982,0.5647335513246945,480292.28760988393,28753.92685232927,478311.4920194301,866.9402210606826,42.21327192616128,873.6288159343605,37.890506385154865,7.883118463666634,37.44025081665721,2974.2375,610.6236615901402,2926.5,7809.95,75.77464945481437,7814.5,3092.6625,713.102235723427,3017.0,338.5625,166.2245351738124,337.0,4923.075,144.33873137519257,4943.0,5209.0875,68.3906414924586,5212.0,139.15,1.0136567466356643,139.0,47.35394427707943,4.097289531871154,47.262562957941554,4.925,0.2633913438213184,5.0,41.9623651265,36.32960654169641,47.75229540000001,17.008029771875947,14.705562035778444,19.322787644,4.925,0.2633913438213184,5.0,80
full_model,msd_ag_nsga2,main_50_5,remote_hotspot,1549600.260359976,447090.0131556747,1539675.7888021711,0.165793135383906,0.0427741510742112,0.1572195127472303,1088.8176682424344,109.18867938300528,1096.4750987766722,69.84878460165972,3.931262856039541,70.53566882131955,0.6576843126897373,0.0711611461415122,0.6651992292677149,0.0376041988348141,0.016531257554279,0.0380274564781975,1.0,0.0,1.0,2.0625,4.019775335761938,0.0,868.0,0.0,868.0,6762.25,170.77481518069342,6810.5,2968.2625,289.9695563222974,2970.0,0.2973228660239203,0.048787999241026,0.2972780558812373,505945.50217316375,38720.98751134616,505604.74507301766,901.6354480528072,56.49961526080809,921.3530141521552,56.47274668023401,5.437338173370923,56.97902595489491,5320.6875,618.3949707458414,5378.5,7814.5875,70.6984253272306,7815.5,5919.2875,626.7621198219864,5964.5,1767.3875,716.6458067579479,1721.5,5029.8375,94.15432063240644,5039.5,5203.1375,70.20964031918979,5202.0,139.15,1.3425721582097552,140.0,80.99522876042465,16.52355606122194,77.06117414555047,5.5125,0.6323319934970869,6.0,78.056273945125,63.94664437435488,83.38555955000001,30.785904066942315,24.8345657111541,34.27035944532276,4.8625,0.3443744328488977,5.0,80
full_model,msd_ag_nsga2,main_80_7,multi_hotspot_boundary,1362942.3598251925,134389.91540476514,1376255.40407605,0.4304391602791336,0.1005734197060242,0.4051128865760579,1401.4898442784292,50.26030677277632,1398.2212240517856,79.46800942176067,11.576246454997172,83.90061160737648,0.5947170520904154,0.0525234664776627,0.5958325559199551,0.0543921495983014,0.0238127437892958,0.0531769319868558,1.0,0.0,1.0,6.525,18.693565069295907,0.0,1184.0,0.0,1184.0,9287.15,223.61284064203468,9376.0,4716.0,42.214037949478374,4736.0,0.503811730403353,0.1054576797521013,0.4648454107669497,802091.1878185595,46350.6045067446,798337.349620415,1256.357378123208,39.53977112175525,1258.5919221859176,60.38501702749168,11.11218668312904,64.61472076616604,5103.625,820.6178369832087,5101.5,10709.2125,83.75002891790545,10727.5,5170.6125,850.114631884283,5150.0,648.0875,439.6823055841001,503.5,6939.5375,103.05689493551608,6964.5,7134.375,74.24374973693071,7145.5,159.1,1.6015617378046965,160.0,86.71561293908162,12.141484009889766,83.38799456262495,6.9875,0.1111024302164448,7.0,38.4036397135,26.37478869030373,40.42733787499999,13.814505959225365,9.360348961607093,14.75521727162632,6.9875,0.1111024302164448,7.0,80
full_model,msd_ag_nsga2,main_80_7,remote_hotspot,2037844.1689099397,402714.03458534466,1980933.459202616,0.1729543999871632,0.0350038249882983,0.1709226192922275,1573.6938421778498,102.32898499070303,1568.988648074473,114.80941796288737,3.5205466821584777,115.38180316115997,0.6942438835805592,0.0461467768986566,0.6906494984415354,0.0386753480759795,0.0178035055998042,0.039196075526109,1.0,0.0,1.0,6.25,10.357967947430616,2.0,1184.0,0.0,1184.0,9110.4375,415.27475373991854,9211.0,4491.3875,179.3553382081225,4539.0,0.2682210003750196,0.0309013312713069,0.2656730101855067,838357.7751330261,45255.46415674878,830857.3941328141,1363.9802248172737,61.46846893520374,1364.361832445712,97.74726964538203,3.468287530586296,98.37078860747076,7748.3625,775.9772426390801,8009.0,10698.1,87.58647155811222,10694.5,8492.3625,806.1188070587052,8689.5,3054.075,936.8453684440138,2990.5,6978.5875,95.38287238152353,6979.5,7136.0625,73.70300939412175,7140.0,159.05,1.0111874208078344,159.0,169.85698629949766,43.621805903799725,171.27856029197574,7.7375,0.7201345360417037,8.0,65.411321574625,51.710984246467106,87.12443017999999,23.431348514024688,18.773537620758994,30.487199724534165,6.975,0.1561249499599599,7.0,80
full_model,msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,864706.8425899312,101073.28256425638,871358.8588944541,0.4187929472657097,0.0888619263318702,0.4120041967732412,845.9424807609364,55.850539653963224,852.5858083371369,51.37581926563071,6.513618903453595,52.51245331929507,0.5904304449760178,0.0787496103313856,0.5733140669481511,0.0462550515068991,0.0243706760245325,0.0380740421742045,1.0,0.0,1.0,0.8375,2.5270721695274156,0.0,868.0,0.0,868.0,6774.275,180.99550926749535,6866.5,3383.875,89.23457499758712,3418.0,0.495863094809826,0.0949194578352077,0.4830779442856661,464782.3097903667,24317.6154654055,464737.0015264257,752.7155502065687,45.76197639975813,764.9003133019075,38.74576249743801,8.223773192160708,38.66652391967541,2666.6875,632.3553509252135,2780.0,7812.15,79.78785935215959,7817.0,2729.375,647.0939919169394,2814.0,378.975,277.94967957347967,272.0,4999.7375,82.9178424330373,4996.0,5208.1375,72.13628486240472,5208.5,138.9375,1.46921535181198,139.0,38.64154302500246,2.907773379327788,38.54529964609537,3.925,0.2633913438213184,4.0,11.32251500475,21.993833478198827,0.0,4.902792814421992,9.523609259362424,0.0,3.925,0.2633913438213184,4.0,80
full_model,msd_ag_nsga2,mechanism_50_4,remote_hotspot,1313525.3184771407,360524.0171157878,1346392.9310622404,0.1863320924235874,0.0426461286714447,0.1815166592474896,958.107882253458,100.81961315022085,952.549535746224,69.81859603573031,2.924273033036678,69.62690402537422,0.6722524251325452,0.0667397282174272,0.684015351929419,0.0332463880802106,0.0144802767060352,0.0304186187422437,1.0,0.0,1.0,8.0125,12.895245005427387,4.0,868.0,0.0,868.0,6470.5875,337.6516582866875,6561.5,2861.8375,234.972309206319,2869.0,0.2846407088416625,0.0332930931407916,0.2811010663516234,496380.27450873854,45967.728798680466,490140.6284013671,815.7559677720343,43.07714774327463,822.2682546585349,59.076922685048,4.629657071390288,59.093051136036735,4339.5375,645.1977011689905,4348.5,7797.0875,74.56544000909537,7813.0,4794.4375,728.7997983628632,4993.5,1651.95,774.7716744306028,1444.5,4992.2875,112.93672938309308,5004.5,5194.8,70.8458537954057,5194.5,138.3875,2.153449268034889,139.0,58.370917221918354,11.12954950439692,55.24535283399746,4.625,0.6199798383818622,5.0,56.179802696749995,51.50086536902897,85.45944964,24.47597341376464,22.428889376337168,37.00502719083845,3.9875,0.1111024302164448,4.0,80
single_uav_reference,msd_ag_nsga2,mechanism_50_4_single_uav,multi_hotspot_boundary,,,,,,,,,,,,,0.0,0.0,0.0,inf,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,8104.8,84.68565403892208,8102.5,0.0,0.0,0.0,8104.8,84.68565403892208,8102.5,4435.05,287.3152841392187,4484.0,5402.65,81.33742988317248,5405.5,1.0,0.0,1.0,20.624416493732134,0.6276276286527808,20.562553770956583,,,,,,,,,,,,,80
single_uav_reference,msd_ag_nsga2,mechanism_50_4_single_uav,remote_hotspot,,,,,,,,,,,,,0.0,0.0,0.0,inf,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,8137.5125,138.88907388182125,8115.5,0.0,0.0,0.0,8137.5125,138.88907388182125,8115.5,4192.975,266.71431228001245,4194.5,5420.4125,103.4777383969615,5396.0,1.0,0.0,1.0,21.190218804212055,1.2242632487370468,21.552917271037582,,,,,,,,,,,,,80
multi_uav_one_sortie,msd_ag_nsga2,main_30_3,multi_hotspot_boundary,493966.6209686038,80552.38907321148,487462.33050003415,0.2942915900583781,0.0906975929273597,0.3077261199989135,621.9674408611143,35.92331751529105,620.6924737089882,36.22678916139769,3.79987441145118,36.99097627446323,0.5505444660101715,0.0438902069918433,0.5510542247813511,0.0491553122862356,0.0197722232610112,0.0429293330558563,1.0,0.0,1.0,0.2875,1.0024189493420403,0.0,600.0,0.0,600.0,4709.75,104.92622408149452,4732.0,1934.4125,277.07641968191734,2005.5,0.3742722627118466,0.0815976843945951,0.3792370448533118,230519.34629869985,13585.007826070494,229666.95832501428,525.9464053839804,40.788953961320885,530.5784946211079,29.774316021123006,4.793998320943426,28.32858526805017,2942.35,436.620146695042,2967.0,5346.275,75.544022761566,5353.0,856.5125,303.90158743209946,843.5,3179.075,504.4027105151201,3129.5,3132.7625,113.64013856798134,3146.0,3577.7875,57.44621261449705,3578.0,118.125,1.777463079785344,119.0,35.89227947083418,4.5804107462777655,35.29089504200965,2.975,0.1561249499599599,3.0,14.499854171250002,22.171567001956113,0.0,6.824228019842098,10.44201187158442,0.0,2.975,0.1561249499599599,3.0,80
multi_uav_one_sortie,msd_ag_nsga2,main_30_3,remote_hotspot,443424.6308347336,91255.53841751128,443694.79782635625,0.0832998265255246,0.0369577476130571,0.0840341937336415,643.4611632517465,77.40687987204873,673.9036426192547,48.1828090678621,2.796708546930698,47.76087109448765,0.6718682949377908,0.0737065136919545,0.6636070879980536,0.0353754990906435,0.0249100722673935,0.0275917273438456,1.0,0.0,1.0,1.125,2.2603926650031405,0.0,600.0,0.0,600.0,4507.575,313.2506095365179,4627.5,280.4625,199.4344468584853,203.5,0.1169210998331694,0.0523397451687359,0.1061639303587213,234603.88402147652,17516.94383532634,233252.71504735385,555.0506387257922,80.71872295156568,587.4416888248375,46.58096811468297,3.216761550340295,45.70652612656664,2982.3875,370.33307622159543,2978.0,5398.6375,64.6094504987467,5396.5,1769.55,614.8573188146986,1623.0,3748.775,397.5321677235693,3823.0,3322.275,144.05658393492467,3313.0,3591.65,55.275921521038434,3585.0,111.3625,15.038487083147691,117.0,39.926222288506686,4.246369269854212,39.95250604150351,2.775,0.4175823272122516,3.0,9.549396211125,31.941113693820785,0.0,4.5016285447490745,15.057185394367444,0.0,2.775,0.4175823272122516,3.0,80
